2023-08-25 16:00:19,343 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005802'}
2023-08-25 16:00:19,845 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005802'}
2023-08-25 16:00:20,283 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.006041'}
2023-08-25 16:00:20,939 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005802'}
2023-08-25 16:00:21,724 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005684'}
2023-08-25 16:00:22,466 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.006041'}
2023-08-25 16:00:23,069 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005684'}
2023-08-25 16:00:23,670 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005684'}
2023-08-25 16:00:24,264 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005684'}
2023-08-25 16:00:24,867 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005684'}
2023-08-25 16:00:25,252 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005684'}
2023-08-25 16:00:26,046 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005684'}
2023-08-25 16:00:26,735 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005684'}
2023-08-25 16:00:27,489 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005618'}
2023-08-25 16:00:28,170 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005618'}
2023-08-25 16:00:28,621 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005618'}
2023-08-25 16:00:29,086 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005618'}
2023-08-25 16:00:29,869 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005618'}
2023-08-25 16:00:30,333 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005618'}
2023-08-25 16:00:30,732 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005618'}
2023-08-25 16:00:31,366 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005618'}
2023-08-25 16:00:32,157 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005618'}
2023-08-25 16:00:32,904 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005803'}
2023-08-25 16:00:33,649 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005803'}
2023-08-25 16:00:34,297 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005803'}
2023-08-25 16:00:34,763 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005803'}
2023-08-25 16:00:35,390 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005803'}
2023-08-25 16:00:36,145 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005803'}
2023-08-25 16:00:36,826 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005803'}
2023-08-25 16:00:37,580 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005803'}
2023-08-25 16:00:38,085 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005803'}
2023-08-25 16:00:38,737 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005803'}
2023-08-25 16:00:39,128 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005903'}
2023-08-25 16:00:39,525 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005903'}
2023-08-25 16:00:40,157 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005903'}
2023-08-25 16:00:40,896 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005903'}
2023-08-25 16:00:41,684 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.00581'}
2023-08-25 16:00:42,171 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.00581'}
2023-08-25 16:00:42,932 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.00581'}
2023-08-25 16:00:43,642 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.00581'}
2023-08-25 16:00:44,380 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.00581'}
2023-08-25 16:00:44,896 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.00581'}
2023-08-25 16:00:45,613 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.00581'}
2023-08-25 16:00:46,206 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005903'}
2023-08-25 16:00:46,890 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005903'}
2023-08-25 16:00:47,682 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.006'}
2023-08-25 16:00:48,309 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.006'}
2023-08-25 16:00:49,038 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.006'}
2023-08-25 16:00:49,706 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005903'}
2023-08-25 16:00:50,480 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.006'}
2023-08-25 16:00:51,116 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005903'}
2023-08-25 16:00:51,795 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.006'}
2023-08-25 16:00:52,253 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.006'}
2023-08-25 16:00:53,000 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.006'}
2023-08-25 16:00:53,757 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.006'}
2023-08-25 16:00:54,483 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.006'}
2023-08-25 16:00:55,251 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.006'}
2023-08-25 16:00:56,006 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.006'}
2023-08-25 16:00:56,762 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005998'}
2023-08-25 16:00:57,156 - INFO - {'symbol': 'PEPECOMMUNITYUSDT', 'price': '0.005998'}
